package,rank,item,label
requests,32,home,Homepage
requests,32,book,Documentation
requests,32,github,Source
numpy,31,home,Homepage
numpy,31,cloud-download-alt,Download
numpy,31,bug,Bug Tracker
numpy,31,book,Documentation
numpy,31,github,Source Code
Django,30,home,Homepage
Django,30,book,Documentation
Django,30,donate,Funding
Django,30,scroll,Release notes
Django,30,github,Source
Django,30,bug,Tracker
Flask,30,home,Homepage
Flask,30,scroll,Changes
Flask,30,discord,Chat
Flask,30,book,Documentation
Flask,30,donate,Donate
Flask,30,bug,Issue Tracker
Flask,30,github,Source Code
Flask,30,twitter,Twitter
pandas,30,home,Homepage
pandas,30,bug,Bug Tracker
pandas,30,book,Documentation
pandas,30,github,Source Code
Pillow,29,home,Homepage
Pillow,29,scroll,Changelog
Pillow,29,book,Documentation
Pillow,29,donate,Funding
Pillow,29,scroll,Release notes
Pillow,29,github,Source
Pillow,29,twitter,Twitter
Sphinx,29,scroll,Changelog
Sphinx,29,github,Code
Sphinx,29,cloud-download-alt,Download
Sphinx,29,home,Homepage
Sphinx,29,bug,Issue tracker
scikit-learn,29,home,Homepage
scikit-learn,29,cloud-download-alt,Download
scikit-learn,29,bug,Bug Tracker
scikit-learn,29,book,Documentation
scikit-learn,29,github,Source Code
SQLAlchemy,28,home,Homepage
SQLAlchemy,28,book,Documentation
SQLAlchemy,28,bug,Issue Tracker
ipython,28,home,Homepage
ipython,28,book,Documentation
ipython,28,donate,Funding
ipython,28,github,Source
ipython,28,bug,Tracker
matplotlib,28,home,Homepage
matplotlib,28,cloud-download-alt,Download
matplotlib,28,bug,Bug Tracker
matplotlib,28,book,Documentation
matplotlib,28,donate,Donate
matplotlib,28,external-link-square-alt,Forum
matplotlib,28,github,Source Code
pylint,28,bug,Bug Tracker
pylint,28,discord,Discord Server
pylint,28,book,Docs: Contributor Guide
pylint,28,book,Docs: User Guide
pylint,28,home,homepage
pylint,28,github,Source Code
pylint,28,scroll,What's New
scipy,28,home,Homepage
scipy,28,book,Documentation
scipy,28,cloud-download-alt,Download
scipy,28,github,Source
scipy,28,bug,Tracker
urllib3,28,home,Homepage
urllib3,28,github,Code
urllib3,28,book,Documentation
urllib3,28,bug,Issue tracker
Jinja2,27,home,Homepage
Jinja2,27,scroll,Changes
Jinja2,27,discord,Chat
Jinja2,27,book,Documentation
Jinja2,27,donate,Donate
Jinja2,27,bug,Issue Tracker
Jinja2,27,github,Source Code
Jinja2,27,twitter,Twitter
aiohttp,27,home,Homepage
aiohttp,27,gitter,Chat: Gitter
aiohttp,27,github,CI: GitHub Actions
aiohttp,27,tasks,Coverage: codecov
aiohttp,27,book,Docs: Changelog
aiohttp,27,book,Docs: RTD
aiohttp,27,github,GitHub: issues
aiohttp,27,github,GitHub: repo
boto3,27,home,Homepage
boto3,27,book,Documentation
boto3,27,github,Source
certifi,27,home,Homepage
certifi,27,github,Source
click,27,home,Homepage
click,27,scroll,Changes
click,27,discord,Chat
click,27,book,Documentation
click,27,donate,Donate
click,27,bug,Issue Tracker
click,27,github,Source Code
click,27,twitter,Twitter
coverage,27,home,Homepage
coverage,27,book,Documentation
coverage,27,donate,Funding
coverage,27,bug,Issues
coverage,27,mastodon,Mastodon
coverage,27,external-link-square-alt,Mastodon (nedbat)
flake8,27,home,Homepage
isort,27,home,Homepage
isort,27,scroll,Changelog
isort,27,book,Documentation
isort,27,github,Repository
psutil,27,home,Homepage
setuptools,27,home,Homepage
setuptools,27,scroll,Changelog
setuptools,27,book,Documentation
PyYAML,26,home,Homepage
PyYAML,26,cloud-download-alt,Download
PyYAML,26,bug,Bug Tracker
PyYAML,26,github,CI
PyYAML,26,book,Documentation
PyYAML,26,external-link-square-alt,Mailing lists
PyYAML,26,github,Source Code
Pygments,26,home,Homepage
Pygments,26,bug,Bug Tracker
Pygments,26,scroll,Changelog
Pygments,26,book,Documentation
Pygments,26,github,Source
Scrapy,26,home,Homepage
Scrapy,26,book,Documentation
Scrapy,26,github,Source
Scrapy,26,bug,Tracker
Werkzeug,26,home,Homepage
Werkzeug,26,scroll,Changes
Werkzeug,26,discord,Chat
Werkzeug,26,book,Documentation
Werkzeug,26,donate,Donate
Werkzeug,26,bug,Issue Tracker
Werkzeug,26,github,Source Code
Werkzeug,26,twitter,Twitter
cryptography,26,home,Homepage
cryptography,26,scroll,Changelog
cryptography,26,book,Documentation
cryptography,26,bug,Issues
cryptography,26,github,Source
lxml,26,home,Homepage
lxml,26,github,Source
mypy,26,home,Homepage
